feature_name,importances
organization_type_Trade: type 6,0.0
bureau_amt_credit_sum_limit_long_limit_loan_2,0.0
organization_type_Industry: type 7,0.0
organization_type_Industry: type 4,0.0
organization_type_Industry: type 3,0.0
organization_type_Industry: type 2,0.0
organization_type_Industry: type 11,0.0
organization_type_Industry: type 1,0.0
organization_type_Housing,0.0
bureau_have_amt_credit_sum_overdue_loan_1,0.0
organization_type_Emergency,0.0
organization_type_Electricity,0.0
bureau_have_amt_credit_sum_overdue_loan_2,0.0
organization_type_Cleaning,0.0
bureau_amt_credit_sum_overdue_is_missing_loan_1,0.0
organization_type_Advertising,0.0
bureau_amt_credit_sum_overdue_is_missing_loan_2,0.0
bureau_days_credit_enddate_second_positive_cluster_loan_2,0.0
bureau_amt_annuity_is_missing_loan_2,0.0
days_credit_max,0.0
bureau_balance_potential_on_going_loan_loan_1,0.0
client_without_querys,0.0
amt_req_credit_berau_hour,0.0
flag_document_18,0.0
flag_document_16,0.0
flag_document_11,0.0
organization_type_Insurance,0.0
flag_document_9,0.0
bureau_amt_credit_sum_limit_long_limit_loan_1,0.0
organization_type_Other trade,0.0
bureau_days_credit_enddate_second_positive_cluster_loan_1,0.0
bureau_days_credit_enddate_first_positive_cluster_loan_2,0.0
bureau_days_credit_enddate_first_positive_cluster_loan_1,0.0
bureau_days_credit_enddate_closed_loan_2,0.0
bureau_days_credit_enddate_closed_loan_1,0.0
bureau_days_enddate_fact_is_missing_loan_1,0.0
bureau_days_enddate_fact_is_missing_loan_2,0.0
bureau_flag_have_credit_day_overdue_loan_2,0.0
bureau_amt_credit_max_overdue_is_missing_loan_1,0.0
bureau_credit_currency_loan_2,0.0
bureau_credit_currency_loan_1,0.0
bureau_amt_credit_max_overdue_is_missing_loan_2,0.0
bureau_cnt_credit_prolong_loan_1,0.0
bureau_cnt_credit_prolong_loan_2,0.0
bureau_amt_credit_sum_debt_is_negative_loan_2,0.0
organization_type_XNA,0.0
organization_type_University,0.0
organization_type_Transport: type 4,0.0
organization_type_Transport: type 2,0.0
organization_type_Telecom,0.0
organization_type_Services,0.0
bureau_amt_credit_sum_limit_is_zero_loan_1,0.0
organization_type_Security,0.0
cnt_credit_prolong_sum,0.0
organization_type_Postal,0.0
organization_type_Other industry,0.0
has_bureau_balance_data_mean,0.0
bureau_amt_annuity_is_missing_loan_1,0.0
bureau_days_credit_enddate_fourth_positive_cluster_loan_1,0.0
ext_source_2_is_missing,0.0
ext_source_1_is_missing,0.0
amt_credit_sum_debt_is_negative_mean,0.0
flag_live_region_not_work,0.0
flag_region_not_live,0.0
flag_cont_mobile,0.0
flag_emp_phone,0.0
own_car_age_is_missing,0.0
bureau_has_bureau_balance_data_loan_1,0.0
bureau_credit_active_active_loan_1,0.0
have_sentinel_value_days_employed,0.0
bureau_credit_active_active_loan_2,0.0
name_type_suite_is_missing,0.0
bureau_balance_status_score_max_loan_1,0.0
bureau_credit_active_closed_loan_1,0.0
amt_goods_price_is_missing,0.0
info_of_social_circule_is_missing,0.0
bureau_credit_active_closed_loan_2,0.0
bureau_credit_active_sold_loan_2,0.0
credit_active_sold_sum,0.0
ext_source_3_is_missing,0.0
flag_document_6,0.00021536389
bureau_balance_status_score_mean_loan_2,0.00062368845
balance_status_score_max_max,0.00069860846
organization_type_Other,0.0007134577
organization_type_Industry: type 5,0.0010263718
organization_type_Industry: type 12,0.001195221
bureau_balance_months_since_delincuency_loan_2,0.0012466684
flag_document_13,0.0013537372
flag_document_14,0.0013785142
bureau_amt_credit_sum_debt_is_negative_loan_1,0.0015374545
organization_type_Police,0.0016875754
bureau_days_credit_enddate_fourth_positive_cluster_loan_2,0.0018482528
