feature,importance_fold_1,importance_fold_2,importance_fold_3,importance_fold_4,importance_fold_5,mean_importance_cv
amt_credit_sum_limit_is_zero_mean,9.881476843673909e-05,-3.1382292281123544e-05,-0.00014877013029583884,-4.8691319655524976e-05,-7.558342242510729e-05,-4.112247924417111e-05
flag_phone,0.0,-4.643231707248674e-05,-0.00011409711719039262,3.0395183095643928e-05,-3.998027702971641e-05,-3.402290563939037e-05
building_features_nan_count,-3.188441181261048e-05,-0.00013925912273831108,1.8500981343905208e-05,-3.591564296230309e-05,2.704234256454274e-05,-3.2303170720955336e-05
organization_type_Business Entity Type 1,0.0,-2.8962340225024973e-05,-0.00012672076622164408,5.311118489883526e-05,-5.475144545648014e-05,-3.146467340086279e-05
bureau_amt_annuity_loan_2,-1.8886403585605116e-05,-9.1152360149227e-06,-0.0001051128533630763,4.238288542819379e-05,-5.8697038956001535e-05,-2.9885729298282368e-05
organization_type_University,0.0,0.0,-0.0001307088158053027,0.0,0.0,-2.614176316106054e-05
amt_annuity_min,-4.939293088432883e-05,8.779062181663022e-08,-3.806758381119657e-06,-0.00016777644302325977,9.658387416588976e-05,-2.4860893500200377e-05
education_type_Incomplete higher,-7.145656985629856e-05,1.809129177596791e-05,0.0,-7.749806349410804e-05,2.3562196316984085e-05,-2.1460229051490917e-05
bureau_balance_months_balance_max_loan_2,-8.139439685921346e-05,-8.370407532951596e-05,3.8448723583761615e-05,6.40796595257731e-05,-4.1870978021729674e-05,-2.0888213420184883e-05
cnt_family_members,-2.2157496425267987e-05,-8.166776115277052e-05,-5.768236405918614e-05,3.65366010182111e-06,5.5725886405699755e-05,-2.0425615025940754e-05
flag_email,-5.8416093808211224e-05,3.206142054668071e-06,1.1203296696371545e-05,-5.1118409160544334e-05,0.0,-1.9025012843543186e-05
bureau_days_credit_enddate_fourth_positive_cluster_loan_2,0.0,0.0,0.0,-9.13222314335771e-05,3.814954163394724e-06,-1.7501455454036475e-05
bureau_days_credit_enddate_is_missing_loan_1,-1.2285690824942463e-05,0.0,-8.003863843693004e-05,1.3200711776417685e-05,-8.300594972965313e-06,-1.748484249168403e-05
flag_city_not_work,-5.752641080039034e-05,-1.7943546582799285e-06,0.0,-1.900916770689598e-05,-1.917471347878674e-06,-1.6049480902688983e-05
flag_region_not_live,0.0,0.0,-9.606649372995157e-06,-5.309905123569436e-05,-1.3922726618575965e-05,-1.5325685445453096e-05
occupation_type_is_missing,-7.042306725282276e-05,0.0,9.629846081993243e-06,-1.222145378463324e-05,0.0,-1.4602934991092554e-05
flag_live_city_not_work,3.2713783377036346e-05,-2.911508163185861e-05,-9.127155554626843e-05,4.442526643648748e-05,-2.3631799242096464e-05,-1.3375877321339933e-05
bureau_days_credit_enddate_fourth_positive_cluster_loan_1,6.8126949934965705e-06,0.0,0.0,-7.208288099895821e-05,0.0,-1.3054037201092329e-05
organization_type_Business Entity Type 2,0.0,5.817020869880451e-07,1.4716349054411104e-05,-7.632716499883507e-05,0.0,-1.2205822771487184e-05
bureau_amt_credit_sum_limit_is_missing_loan_2,0.0,0.0,8.315127991487259e-07,-5.408687416603719e-05,0.0,-1.0651072273377692e-05
bureau_balance_status_score_max_loan_1,-4.3068080524366616e-05,2.8381351883077775e-05,-3.3423959544509606e-05,-4.172552638248561e-06,0.0,-1.0456648164809402e-05
bureau_amt_credit_sum_debt_is_negative_loan_1,-3.5526295123822216e-05,-8.558514999146283e-06,1.3611115089262604e-05,2.858548292221652e-05,-4.972647121312956e-05,-1.0322936664923787e-05
bureau_balance_months_balance_max_loan_1,1.6291227158404809e-06,-2.1187873989614302e-05,-6.280169929659963e-05,2.3296633272940072e-06,3.062457310203382e-05,-9.881242828209125e-06
organization_type_Postal,0.0,0.0,-1.1196516119760248e-05,0.0,-3.815739427213138e-05,-9.870782078378326e-06
organization_type_Industry: type 5,0.0,-3.270129284138612e-05,-1.4584663121852693e-05,0.0,0.0,-9.457191192647763e-06
organization_type_Industry: type 4,0.0,-2.621799111544032e-05,-1.715985469195047e-05,0.0,0.0,-8.675569161478158e-06
organization_type_Transport: type 4,0.0,0.0,-3.3933573397337825e-05,-2.0125464717901664e-05,1.0934441040699739e-05,-8.62491941490795e-06
bureau_days_credit_enddate_is_missing_loan_2,0.0,3.881344722334035e-06,-2.4497509053467147e-05,-1.6576725115258208e-05,-4.669463918993699e-06,-8.372470673077004e-06
flag_document_6,-3.721751364520465e-05,1.3065813991852693e-05,-3.354172745169137e-05,-6.537189465238846e-06,2.4684052692003355e-05,-7.909312775655763e-06
wallsmaterial_mode,-6.048452650506686e-05,3.416696797708951e-05,-0.0003167913878170836,0.00031466407116678143,-9.009830931328011e-06,-7.490941221921499e-06
organization_type_Trade: type 6,0.0,-3.779707449744762e-05,0.0,4.6436242669756215e-06,0.0,-6.6306900460944005e-06
organization_type_Emergency,-1.1604778198037735e-05,0.0,-1.828828536605265e-05,0.0,0.0,-5.978612712818077e-06
