,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
597719,1661530,101067,Consumer loans,12448.935,124200.0,138168.0,0.0,124200.0,WEDNESDAY,11,Y,1,0.0,,,XAP,Approved,-930,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,2929,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-899.0,-569.0,-569.0,-562.0,0.0
707406,1351940,101067,Cash loans,45324.765,1125000.0,1223010.0,,1125000.0,FRIDAY,9,Y,1,,,,XNA,Refused,-788,Cash through the bank,LIMIT,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_action,Cash Street: low,,,,,,
683095,2163456,101067,Cash loans,50727.51,900000.0,952272.0,,900000.0,SATURDAY,5,Y,1,,,,XNA,Refused,-787,Cash through the bank,LIMIT,"Spouse, partner",Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,low_normal,Cash Street: low,,,,,,
1440302,2717345,101067,Cash loans,39720.87,405000.0,433066.5,,405000.0,SATURDAY,5,Y,1,,,,XNA,Approved,-787,Cash through the bank,XAP,"Spouse, partner",Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,high,Cash X-Sell: high,365243.0,-757.0,-247.0,-397.0,-387.0,1.0
3681,1356683,101067,Revolving loans,11250.0,0.0,315000.0,,,SATURDAY,9,N,0,,,,XAP,Refused,-773,XNA,SCO,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
774936,2460196,101067,Revolving loans,11250.0,0.0,225000.0,,,SATURDAY,9,Y,1,,,,XAP,Refused,-773,XNA,SCO,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
1362895,1614299,101067,Cash loans,17079.255,135000.0,143910.0,,135000.0,THURSDAY,15,Y,1,,,,Other,Approved,-544,XNA,XAP,,Repeater,XNA,Cash,walk-in,Contact center,-1,XNA,12.0,high,Cash Street: high,365243.0,-514.0,-184.0,-184.0,-177.0,0.0
333642,1023605,101067,Cash loans,40563.27,360000.0,376632.0,,360000.0,FRIDAY,9,Y,1,,,,Everyday expenses,Approved,-501,XNA,XAP,,Repeater,XNA,Cash,walk-in,Contact center,-1,XNA,12.0,middle,Cash Street: middle,365243.0,-468.0,-138.0,-138.0,-135.0,0.0
1565779,2295673,101067,Consumer loans,,119155.5,119155.5,0.0,119155.5,SUNDAY,7,Y,1,0.0,,,XAP,Unused offer,-471,Cash through the bank,CLIENT,,Repeater,Mobile,XNA,XNA,Country-wide,40,Connectivity,,XNA,POS mobile with interest,,,,,,
382069,1879379,101067,Cash loans,87964.695,2668500.0,2953818.0,,2668500.0,THURSDAY,10,Y,1,,,,Repairs,Refused,-453,Cash through the bank,LIMIT,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,54.0,low_normal,Cash Street: low,,,,,,
