,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
293413,2198123,100059,Cash loans,16294.5,450000.0,450000.0,,450000.0,FRIDAY,15,Y,1,,,,XNA,Refused,-326,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low,,,,,,
1129219,2299459,100059,Consumer loans,9917.01,49593.825,44631.0,4962.825,49593.825,MONDAY,15,Y,1,0.1089846889387759,,,XAP,Approved,-2808,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Country-wide,3500,Consumer electronics,5.0,middle,POS household without interest,365243.0,-2777.0,-2657.0,-2747.0,-2739.0,0.0
1451175,2558997,100091,Consumer loans,7078.95,39330.0,39330.0,0.0,39330.0,MONDAY,18,Y,1,0.0,,,XAP,Approved,-619,Cash through the bank,XAP,"Spouse, partner",New,Computers,POS,XNA,Regional / Local,320,Consumer electronics,6.0,low_normal,POS household with interest,365243.0,-588.0,-438.0,-468.0,-466.0,0.0
1297941,2207889,100091,Revolving loans,10125.0,270000.0,202500.0,,270000.0,SATURDAY,10,Y,1,,,,XAP,Refused,-299,XNA,HC,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
397157,1084942,100113,Cash loans,5090.085,45000.0,47970.0,,45000.0,WEDNESDAY,8,Y,1,,,,Everyday expenses,Approved,-194,Cash through the bank,XAP,Unaccompanied,Refreshed,XNA,Cash,walk-in,AP+ (Cash loan),4,XNA,12.0,middle,Cash Street: middle,365243.0,-164.0,166.0,365243.0,365243.0,1.0
402791,1813535,100113,Consumer loans,5755.725,46260.0,46260.0,0.0,46260.0,MONDAY,14,Y,1,0.0,,,XAP,Refused,-1981,Cash through the bank,LIMIT,Unaccompanied,Repeater,Photo / Cinema Equipment,POS,XNA,Stone,61,Consumer electronics,12.0,high,POS household with interest,,,,,,
549466,2431286,100135,Cash loans,,0.0,0.0,,,WEDNESDAY,10,Y,1,,,,XNA,Canceled,-479,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1020118,2397112,100135,Cash loans,37800.9,292500.0,349771.5,,292500.0,WEDNESDAY,10,Y,1,,,,XNA,Approved,-479,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-449.0,-119.0,-329.0,-321.0,1.0
1387994,1433689,100239,Revolving loans,11250.0,225000.0,225000.0,,225000.0,TUESDAY,15,Y,1,,,,XAP,Refused,-762,XNA,HC,,Repeater,XNA,Cards,walk-in,AP+ (Cash loan),5,XNA,0.0,XNA,Card Street,,,,,,
833378,2186107,100239,Consumer loans,1390.725,33385.5,29844.0,3541.5,33385.5,SATURDAY,12,Y,1,0.1155296597189035,,,XAP,Refused,-2823,Cash through the bank,SCO,Family,Repeater,XNA,POS,XNA,Country-wide,1923,Consumer electronics,24.0,low_action,POS household without interest,,,,,,
710816,1628407,100261,Cash loans,9344.475,157500.0,157500.0,0.0,157500.0,SUNDAY,9,Y,1,0.0,,,XNA,Refused,-2554,Cash through the bank,SCO,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,30.0,high,Cash Street: high,,,,,,
1281417,2666494,100261,Revolving loans,22500.0,0.0,135000.0,,,WEDNESDAY,11,N,0,,,,XAP,Refused,-759,XNA,HC,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
893011,1934169,100270,Revolving loans,,0.0,0.0,,,FRIDAY,17,Y,1,,,,XAP,Canceled,-11,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,100,XNA,,XNA,Card Street,,,,,,
1110974,1805930,100270,Cash loans,87291.0,1350000.0,1350000.0,,1350000.0,FRIDAY,11,Y,1,,,,XNA,Approved,-865,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,low_action,Cash X-Sell: low,365243.0,-835.0,-325.0,-325.0,-317.0,0.0
1380575,1426504,100382,Consumer loans,9323.28,67486.5,67486.5,0.0,67486.5,SATURDAY,12,Y,1,0.0,,,XAP,Canceled,-52,Cash through the bank,XAP,,Repeater,Computers,POS,XNA,Country-wide,50,Connectivity,10.0,high,POS mobile with interest,,,,,,
281994,2029214,100382,Consumer loans,7182.675,47205.0,45288.0,4720.5,47205.0,MONDAY,13,Y,1,0.1028035961159329,,,XAP,Approved,-2654,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,38,Connectivity,8.0,low_normal,POS mobile with interest,365243.0,-2623.0,-2413.0,-2413.0,-2410.0,1.0
750035,1782313,100437,Revolving loans,4500.0,90000.0,90000.0,,90000.0,WEDNESDAY,14,Y,1,,,,XAP,Approved,-407,XNA,XAP,Unaccompanied,Refreshed,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,365243.0,365243.0,365243.0,365243.0,365243.0,0.0
1538736,2648256,100437,Revolving loans,4500.0,450000.0,90000.0,,450000.0,WEDNESDAY,14,Y,1,,,,XAP,Refused,-407,XNA,HC,Unaccompanied,Refreshed,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
98541,1874654,100482,Revolving loans,4500.0,0.0,90000.0,,,SATURDAY,11,Y,1,,,,XAP,Approved,-396,XNA,XAP,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),3,XNA,0.0,XNA,Card X-Sell,-367.0,-329.0,365243.0,365243.0,365243.0,0.0
658080,2286563,100482,Revolving loans,4500.0,0.0,450000.0,,,SATURDAY,11,N,0,,,,XAP,Refused,-396,XNA,LIMIT,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),3,XNA,0.0,XNA,Card X-Sell,,,,,,
759480,2338836,100485,Revolving loans,7875.0,157500.0,157500.0,0.0,157500.0,SUNDAY,10,Y,1,0.0,,,XAP,Refused,-443,XNA,HC,,Repeater,XNA,Cards,walk-in,Country-wide,48,Connectivity,0.0,XNA,Card Street,,,,,,
225741,2112622,100485,Consumer loans,,0.0,0.0,,,MONDAY,10,Y,1,,,,XAP,Canceled,-428,XNA,XAP,,Repeater,XNA,XNA,XNA,Country-wide,50,Connectivity,,XNA,POS mobile with interest,,,,,,
1449669,1412298,100487,Consumer loans,3202.245,16627.5,15705.0,1665.0,16627.5,THURSDAY,9,Y,1,0.1043947244465378,,,XAP,Approved,-1152,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,16,Connectivity,6.0,high,POS mobile with interest,365243.0,-1110.0,-960.0,-990.0,-988.0,0.0
1547541,2005468,100487,Cash loans,,0.0,0.0,,,SUNDAY,12,Y,1,,,,XNA,Canceled,-99,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1580119,2838370,100492,Cash loans,50401.17,450000.0,473760.0,,450000.0,WEDNESDAY,11,Y,1,,,,XNA,Approved,-204,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-174.0,156.0,365243.0,365243.0,1.0
924963,1017671,100492,Revolving loans,,0.0,0.0,,,WEDNESDAY,11,Y,1,,,,XAP,Canceled,-204,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
